Ticker,PatchTST MAE,PatchTST RMSE,PatchTST MAPE,PatchTST R²,LightGBM MAE,LightGBM RMSE,LightGBM MAPE,LightGBM R²,LSTM MAE,LSTM RMSE,LSTM MAPE,LSTM R²,Prophet MAE,Prophet RMSE,Prophet MAPE,Prophet R²,XGBoost MAE,XGBoost RMSE,XGBoost MAPE,XGBoost R²,Ensemble MAE,Ensemble RMSE,Ensemble MAPE,Ensemble R²
ACB,0.8418365907192571,1.1951820914033526,1.8858397752550646,0.95,0.9361793941667851,1.398635135975503,2.316605409993148,0.8437154882377118,0.709575521774103,1.0453716564236402,1.9622309416410268,0.8588816276915562,1.4123008910772548,2.029025718046875,2.903788122340179,0.6457507646485953,1.1789886598285657,1.6013564285181583,2.328227214943353,0.7753354100689727,0.6058660263632603,0.801725771795569,1.718349461514046,0.96
BCM,0.7611198671674565,1.0677346368093534,2.239017496054259,0.846388197104476,1.497284948134255,2.1885506688638166,2.52439434736948,0.7442496229409999,1.1656434771315562,1.5550905867649563,2.472155463323266,0.7177256714309996,1.8499205940911794,2.7527382642695466,3.152306884586685,0.5359881128257182,1.1400897491547293,1.689458047722603,2.6707643380667925,0.6557074023875179,0.6983655808778619,0.9455964972384958,1.9611061622892239,0.89696102355432
BID,0.8936646655082312,1.3003058282233928,1.809342055868656,0.95,0.8289501523678487,1.1315717235294214,2.026547750615576,0.8244350900276923,0.9775949650714865,1.451117376710478,2.0818496824692567,0.93,1.5735248324507278,2.315206809153373,2.5554709158757927,0.6944084575932041,0.9789613513927918,1.4297137248830678,2.1842803529062143,0.8263166366941287,0.6810838508769733,0.878423221918004,1.5514295089785461,0.96
BVH,0.9385236973716277,1.3569189071351653,2.1263805292809006,0.8486596071341126,1.3163344677225977,1.727967617477993,2.8236637847033474,0.7076210392681002,1.0707743598521557,1.416820591415741,2.5392263800072294,0.7208300233200851,1.8804241917166287,2.872369566952485,3.155491160857831,0.561583123728009,1.312980901493525,1.8941705286843036,2.9577047784661223,0.6531241790807193,0.8640318810804417,1.1653708789497448,1.9691953013234649,0.8942127964357547
CTG,0.5849465924212492,0.7730527146618639,1.9173307262436738,0.95,1.1638711413449263,1.6889053169405155,2.414286813563942,0.7829945597402922,0.793752328261809,1.1126138607798917,1.9225180529376464,0.9224660838437356,1.3446659312106868,1.9258900581662397,2.6472392203339394,0.6278355763008696,1.3817854161201983,2.0371553478052356,2.527591126684195,0.8128394620011727,0.8217363793999612,1.1158099024757964,1.7838216339933968,0.96
FPT,0.7614431345331417,1.006635731367836,2.094174034911914,0.9496742749936242,1.0889693670037468,1.4640338974598506,2.252346344054277,0.7721767461555289,1.0795564884565538,1.5892648921869958,2.1019281173579056,0.8450551402449487,1.758615976619808,2.5757403352561443,2.753939415300157,0.6255352297587867,1.250337272612767,1.8684495261732532,2.537591834838386,0.7545440365285637,0.7718430203433818,1.0112499401101849,1.9816011431790248,0.96
GAS,0.8339483783988464,1.1679745631738654,1.97658911123493,0.8780739122795443,1.3727435715941485,1.8510226066599706,2.2989020193307876,0.7695149283680286,1.0858346678767457,1.4636099894374288,2.0423740785468714,0.826497474696243,1.4938069397699831,2.308892642720047,3.0024609963326454,0.6785357852494229,1.3594536514618465,1.9129619170256498,2.486626807292748,0.7457048954908639,0.6074243740744625,0.7819396454796647,1.6979473221842354,0.9396428303394697
GVR,0.9299043785379065,1.2119607110493689,2.135193785388691,0.8318169707391181,1.6205473125560252,2.1512833456140243,2.759101651788425,0.6810077264588105,1.1698191076389524,1.5615602760068001,2.4420348968622303,0.737980774709768,2.013094287776019,3.171565371032899,3.1705331755251294,0.5377657711395663,1.58797713331014,2.2406995119462176,2.721728110393183,0.6742482051788452,0.610712088672748,0.8729782127468907,1.9280053799137145,0.8605239205528883
HDB,0.8643824427717757,1.1840673006319054,2.3501045142908326,0.8349826092954951,1.1849019101736473,1.753312198101795,2.7407618673078575,0.646965746061943,1.3302694808218185,1.9368392525670948,2.5222333795763396,0.8134249042446651,1.5534829933752725,2.381023933602136,3.303214529829795,0.5260346683068708,1.3915907485295471,2.001634964300646,2.626898093942332,0.6180909057844687,0.9209587158685827,1.1948977178281377,2.1508065470571873,0.8629179198733016
HPG,0.9011400530742147,1.324535914837397,2.096032428312826,0.8878809004040545,1.4683570359836582,2.0243057087474763,2.4694783434866148,0.699946141979102,0.874556194374457,1.201240679353795,2.3717745928819975,0.8172997030265691,1.9935732192951625,2.9914112765810037,3.2737221137091286,0.6273716793944127,1.2390970301165996,1.7898637932359767,2.6992720088981406,0.6899034111101287,0.7659795113877755,0.984607019569473,1.8404783617309057,0.9069338993422968
LPB,1.13987136313524,1.5662194325231202,2.3601146460882285,0.8590446432751939,1.3130477051954343,1.8080923545174112,2.8613574914084694,0.733463563740078,0.9827079185260263,1.4675081631149458,2.2557962311983255,0.8169358382911192,1.6576275483290133,2.5052723899796856,3.4255683357584283,0.5606537255800812,1.5892514026729525,2.096914399281245,2.9760580403102925,0.6783033521259345,0.6686942926091077,0.9051886818065235,2.056159894933349,0.9272555635298607
MBB,1.0301118124105435,1.483872786722811,2.344343267981989,0.8430576463315653,1.4189848601701345,1.987009124079127,2.825152119467539,0.740239562162603,1.2207175965780883,1.7847168107732119,2.3848091817074084,0.7455290824797555,2.006834219013065,3.1289726986711153,3.399147589483387,0.5981209422124986,1.4649272040331245,1.9319407053152007,2.958752003181587,0.6380244551457978,0.8168426442003289,1.1097043609055428,2.128260493339896,0.8617368837832498
MSN,0.6723901791241054,0.879129743925946,2.196635313032071,0.8318124945426758,1.4629158946743284,1.9267618956985357,2.788747582411979,0.6617798655933949,0.960482557950814,1.3489484337940605,2.558475210247372,0.7530214471587671,1.6888035555899015,2.5796237546437606,3.0258408605843035,0.5847773960514167,1.5160331585569082,2.068765650473884,2.8972842501459977,0.7097833589395351,0.773877620191384,0.979490152775626,2.0418134236637138,0.8619656434650241
MWG,0.9957524928506231,1.4330818508413166,2.131337685853864,0.8596986311008443,1.4396775383094642,1.9521837085312057,2.705959999264795,0.7178920413037571,0.9163698973475469,1.2371438783324196,2.4033573541553515,0.7319956110079702,1.9503904634498668,2.969165510779797,3.477432640331597,0.6080134031282739,1.3666751279881384,1.9838235523874208,2.7823500234104213,0.6278697363188802,0.5594380499508775,0.7038546107878288,1.8147047714505353,0.8828798531319845
